Coin/Token,Full Name,Network,Minimum Deposit,Minimum Withdrawal,Deposit Fee,Withdrawal Fee
,,,,,,
0G,0G,0G ChainBNB Smart Chain (BEP20)Ethereum (ERC20),> 0.00000001> 0.00000001> 0.00000001,0.10.0461.64,00G00G00G,0.0010.0230.82
1MBABYDOGE,1M x BABYDOGE,BNB Smart Chain (BEP20)Ethereum (ERC20)Solana,> 0.01> 0.01> 0.01,7225961476,01MBABYDOGE01MBABYDOGE01MBABYDOGE,361298738
1INCH,1inch,BNB Smart Chain (BEP20)Ethereum (ERC20),> 0.0025> 0.0025,0.310,01INCH01INCH,0.155.26
1000SATS,1000*SATS (Ordinals),ORDI-BRC20,> 0.01,300000,01000SATS,100000
1000CAT,1000*Simons Cat,BNB Smart Chain (BEP20)Solana,> 0.000001> 0.00001,14298,01000CAT01000CAT,7.41149
1000CHEEMS,1000*cheems.pet,BNB Smart Chain (BEP20),> 0.01,46,01000CHEEMS,23
2Z,DoubleZero,Solana,> 0.00000001,8.08,02Z,4.04
AGLD,Adventure Gold,Ethereum (ERC20),> 0.0012,6.3,0AGLD,3.15
ATEM,ATEM,BNB Smart Chain (BEP20)Ethereum (ERC20),> 0.0015> 0.0015,0.52.84,0ATEM0ATEM,0.21.42
AUDIO,Audius,Ethereum (ERC20),> 0.007,56,0AUDIO,28
AI,Sleepless AI,BNB Smart Chain (BEP20),> 0.002,1.08,0AI,0.54
AR,Arweave,Arweave,> 0.00003,0.00003,0AR,0.00002
A,Vaulta,Vaulta,> 0.0018,0.16,0A,0.079
ARDR,Ardor,Ardor,> 0.015,4,0ARDR,2
AVNT,Avantis,Base,> 0.00000001,5,0AVNT,1
