Level,Maker / TakerMakers add liquidity by placing orders on the book; takers remove liquidity by matching existing orders immediately.Learn More.,Maker / TakerBNB 25% off
,,
Regular User,0.1000% / 0.1500%,0.0750% / 0.1125%
VIP 1,0.0900% / 0.1500%,0.0675% / 0.1125%
VIP 2,0.0800% / 0.1000%,0.0600% / 0.0750%
VIP 3,0.0400% / 0.0600%,0.0300% / 0.0450%
VIP 4,0.0400% / 0.0520%,0.0300% / 0.0390%
VIP 5,0.0250% / 0.0310%,0.0188% / 0.0233%
VIP 6,0.0200% / 0.0290%,0.0150% / 0.0218%
VIP 7,0.0190% / 0.0280%,0.0143% / 0.0210%
VIP 8,0.0160% / 0.0250%,0.0120% / 0.0188%
VIP 9,0.0110% / 0.0230%,0.0083% / 0.0173%
