Level,30-Day Trade Volume (USD*)Trade volume will be converted into USD equivalent values based on the exchange rate under Multi-Asset mode.Learn more,and/or,BNB Balance,USDT Maker / TakerMakers add liquidity by placing orders on the book; takers remove liquidity by matching existing orders immediately.Learn More.,USDT Maker / TakerBNB 10% off,USDCMaker / Taker,USDC Maker / TakerBNB 10% off
,,,,,,,
Regular User,"< 15,000,000 USD",or,≥ 0 BNB,0.0200%/0.0500%,0.0180%/0.0450%,0.0000%/0.0275%0.0200%/0.0500%,0.0000%/0.0248%0.0200%/0.0500%
VIP 1,"≥ 15,000,000 USD",and,≥ 25 BNB,0.0160%/0.0400%,0.0144%/0.0360%,0.0000%/0.0220%0.0160%/0.0400%,0.0000%/0.0198%0.0160%/0.0400%
VIP 2,"≥ 50,000,000 USD",and,≥ 100 BNB,0.0140%/0.0350%,0.0126%/0.0315%,0.0000%/0.0193%0.0140%/0.0350%,0.0000%/0.0173%0.0140%/0.0350%
VIP 3,"≥ 100,000,000 USD",and,≥ 250 BNB,0.0120%/0.0320%,0.0108%/0.0288%,0.0000%/0.0176%0.0120%/0.0320%,0.0000%/0.0158%0.0120%/0.0320%
VIP 4,"≥ 600,000,000 USD",and,≥ 500 BNB,0.0100%/0.0300%,0.0090%/0.0270%,0.0000%/0.0165%0.0100%/0.0300%,0.0000%/0.0149%0.0100%/0.0300%
VIP 5,"≥ 1,000,000,000 USD",and,"≥ 1,000 BNB",0.0080%/0.0270%,0.0072%/0.0243%,0.0000%/0.0149%0.0080%/0.0270%,0.0000%/0.0134%0.0080%/0.0270%
VIP 6,"≥ 2,500,000,000 USD",and,"≥ 1,750 BNB",0.0060%/0.0250%,0.0054%/0.0225%,0.0000%/0.0138%0.0060%/0.0250%,0.0000%/0.0124%0.0060%/0.0250%
VIP 7,"≥ 5,000,000,000 USD",and,"≥ 3,000 BNB",0.0040%/0.0220%,0.0036%/0.0198%,0.0000%/0.0121%0.0040%/0.0220%,0.0000%/0.0109%0.0040%/0.0220%
VIP 8,"≥ 12,500,000,000 USD",and,"≥ 4,500 BNB",0.0020%/0.0200%,0.0018%/0.0180%,0.0000%/0.0110%0.0020%/0.0200%,0.0000%/0.0099%0.0020%/0.0200%
VIP 9,"≥ 25,000,000,000 USD",and,"≥ 5,500 BNB",0.0000%/0.0170%,0.0000%/0.0153%,0.0000%/0.0094%0.0000%/0.0170%,0.0000%/0.0084%0.0000%/0.0170%
